sector,price,area,noOfOpenSides,price_per_sqft,Maintenance_Staff,Water_Storage,Vaastu_Compliant,Rain_Water_Harvesting,Rating,Metro,Park,School,College,Hospital,Shrine,Mall,Airport,latitude,longitude
sector 108,2.68,2259.6,1.0,0.0011860506284298,1.0,0.0,0.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,3.85,3228.0,1.0,0.0011926889714993,1.0,0.0,0.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,5.64,6854.12,1.0,0.0008228627453268,1.0,0.0,0.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,4.75,4476.16,2.0,0.0010611774378038,1.0,0.0,0.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 108,5.2,5272.4,1.0,0.0009862681131932,1.0,0.0,0.0,0.0,4.375,0,0,1,1,1,0,0,1,28.5134,76.983
sector 43,1.45,538.0,2.0,0.0026951672862453,0.0,0.0,1.0,1.0,5.0,1,1,1,1,1,1,0,0,28.4629,77.0772
sector 88a,1.16,1054.48,2.0,0.0011000682801001,1.0,1.0,1.0,1.0,3.0,1,1,1,1,1,0,0,1,28.4347,76.9557
sector 95,1.4,1398.8,2.0,0.0010008578781812,1.0,1.0,1.0,1.0,4.25,0,0,0,0,0,0,0,0,28.4172,76.9081
sector 38,2.75,1452.6,3.0,0.001893157097618,1.0,1.0,1.0,1.0,4.25,0,0,1,0,0,1,1,0,28.4347,77.043
sector 91,2.75,2431.76,1.0,0.0011308681777807,1.0,1.0,1.0,1.0,3.875,0,0,1,1,1,0,1,1,28.4014,76.9225
sector 28,7.25,2431.76,1.0,0.0029813797414218,1.0,1.0,1.0,1.0,4.75,1,1,0,1,1,1,1,0,28.4728,77.0865
sector 45,6.09,2162.76,1.0,0.0028158464184652,1.0,1.0,1.0,1.0,4.5,1,1,1,1,1,0,0,0,28.4466,77.066
sector 56,2.48,1129.8,1.0,0.0021950787750044,1.0,1.0,0.0,0.0,4.5,1,1,1,1,1,1,0,0,28.4245,77.0991
sector 56,2.6,1129.8,1.0,0.0023012922641175,1.0,1.0,0.0,0.0,4.5,1,1,1,1,1,1,0,0,28.4245,77.0991
sector 56,2.55,1129.8,1.0,0.0022570366436537,0.0,1.0,1.0,1.0,4.5,1,1,1,1,1,1,0,0,28.4245,77.0991
sector 43,6.75,2700.76,2.0,0.0024992964943201,1.0,0.0,1.0,1.0,4.0,1,1,1,1,1,1,0,0,28.4629,77.0772
sector 43,4.85,1936.8,2.0,0.0025041305245766,0.0,1.0,1.0,0.0,4.0,1,1,1,1,1,1,0,0,28.4629,77.0772
sector 42,1.25,559.52,1.0,0.0022340577637975,1.0,0.0,0.0,0.0,3.0,1,1,1,1,1,1,0,0,28.4576,77.102
sector 52,1.2,710.16,1.0,0.0016897600540723,1.0,0.0,0.0,0.0,4.5,1,1,1,1,1,1,0,0,28.4379,77.0785
sector 33,7.8,4949.599999999999,3.0,0.0015758849199935,0.0,0.0,0.0,0.0,3.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 33,7.0,4497.68,3.0,0.0015563579445402,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 33,5.55,3593.84,3.0,0.0015443091512143,1.0,1.0,1.0,1.0,3.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 33,5.1,3238.76,3.0,0.0015746767281305,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 33,4.2,2700.76,3.0,0.001555117818688,1.0,1.0,1.0,1.0,3.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 33,3.75,2399.48,3.0,0.0015628386150332,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 33,3.5,2248.84,3.0,0.0015563579445402,1.0,1.0,0.0,0.0,3.0,0,0,1,1,1,0,1,0,28.442,77.0207
sector 33,2.55,1646.28,3.0,0.0015489467162329,1.0,1.0,1.0,1.0,4.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 33,2.5,1624.76,2.0,0.0015386887909598,1.0,1.0,1.0,1.0,3.0,0,0,1,1,1,0,0,1,28.442,77.0207
sector 37d,3.0,2248.84,4.0,0.0013340210953202,1.0,1.0,1.0,1.0,4.0,1,1,0,0,0,0,0,0,28.4478,76.9703
sector 99,3.65,247.48,2.0,0.0147486665589138,0.0,0.0,0.0,1.0,4.375,0,0,1,1,1,0,1,1,28.464,76.9614
sector 42,1.2,538.0,2.0,0.0022304832713754,1.0,0.0,0.0,0.0,4.0,1,1,1,1,1,1,0,0,28.4576,77.102
sector 42,2.1,903.84,1.0,0.0023234200743494,1.0,1.0,0.0,0.0,3.0,1,1,1,1,1,1,0,0,28.4576,77.102
sector 42,3.04,1452.6,1.0,0.0020927991188214,1.0,1.0,0.0,1.0,4.0,1,1,1,1,1,1,0,0,28.4576,77.102
sector 49,1.05,677.88,1.0,0.0015489467162329,1.0,1.0,1.0,1.0,4.5,0,0,0,1,1,1,1,0,28.4121,77.048
sector 40,2.1,989.92,2.0,0.0021213835461451,1.0,0.0,0.0,1.0,4.0,1,1,1,1,1,0,0,0,28.4498,77.0567
